VESSEL,CRUISE,P_STA_NO,SEAMAP,SAMPLE_NO,STA_LAT,STA_LON,STA_DPTH,GEAR_IN,GEAR_OUT,TOW_TIME,TOW_PAT,GEAR_ICD,MESH_ICD,VOL_FILT,TAXON,TOT_LARVAE,TAXA_NOTES,SAMPLE_NOTES,COMMENTS,DEPTH_ESRF,DEPTH_EMID,DEPTH_EMAX,DEPTH_EWTR,TEMPSURF,TEMPMID,TEMPMAX,SALSURF,SALMID,SALMAX,OXYSURF,OXYMID,OXYMAX
04,0317,062,B024,50698,27.0020,-93.0028,1319.19,19MAY2016:15:50:37,,,W,01,05,160,Thunnus thynnus,0,,Bongo stop button was not pushed no end data recorded,,3,101,202,1270,25.84,22.76,17.86,36.29,36.396,36.37,6.6,6.2,3.9
04,0317,063,B055,50703,26.5150,-93.0060,1752.14,19MAY2016:19:48:00,19MAY2016:19:59:02,11.03,W,01,05,164,Katsuwonus pelamis,0,,SEACAT WENT OUT ABOUT HALFWAY THROUGH TOW,,2,101,202,1784,26.37,22.89,18.35,36.445,36.457,36.421,6.6,6.4,3.9
04,0317,063,B055,50703,26.5150,-93.0060,1752.14,19MAY2016:19:48:00,19MAY2016:19:59:02,11.03,W,01,05,164,Thunnus spp,0,,SEACAT WENT OUT ABOUT HALFWAY THROUGH TOW,,2,101,202,1784,26.37,22.89,18.35,36.445,36.457,36.421,6.6,6.4,3.9
04,0317,063,B055,50703,26.5150,-93.0060,1752.14,19MAY2016:19:48:00,19MAY2016:19:59:02,11.03,W,01,05,164,Thunnus thynnus,1,,SEACAT WENT OUT ABOUT HALFWAY THROUGH TOW,,2,101,202,1784,26.37,22.89,18.35,36.445,36.457,36.421,6.6,6.4,3.9
04,0317,064,B025,50708,26.2807,-92.9978,1939.26,19MAY2016:23:34:15,19MAY2016:23:44:38,10.38,W,01,05,162,Katsuwonus pelamis,1,,No SeaCat Max depth was deep due to miscommunication about wire out for the depth,,2,102,203,1944,26.49,22.99,19.04,36.351,36.463,36.524,6.5,6.6,4.1
04,0317,064,B025,50708,26.2807,-92.9978,1939.26,19MAY2016:23:34:15,19MAY2016:23:44:38,10.38,W,01,05,162,Thunnus spp,0,,No SeaCat Max depth was deep due to miscommunication about wire out for the depth,,2,102,203,1944,26.49,22.99,19.04,36.351,36.463,36.524,6.5,6.6,4.1
04,0317,064,B025,50708,26.2807,-92.9978,1939.26,19MAY2016:23:34:15,19MAY2016:23:44:38,10.38,W,01,05,162,Thunnus thynnus,0,,No SeaCat Max depth was deep due to miscommunication about wire out for the depth,,2,102,203,1944,26.49,22.99,19.04,36.351,36.463,36.524,6.5,6.6,4.1
04,0317,065,B307,50713,26.0303,-93.4935,2286.25,20MAY2016:03:40:36,20MAY2016:03:50:59,10.38,W,01,05,161,Katsuwonus pelamis,0,,No SeaCat One Aurelia 86 mm rinsed and removed from left SB,,2,101,201,3085,26.99,21.88,17.27,36.164,36.404,36.312,6.5,6.2,4.1
04,0317,065,B307,50713,26.0303,-93.4935,2286.25,20MAY2016:03:40:36,20MAY2016:03:50:59,10.38,W,01,05,161,Thunnus spp,3,,No SeaCat One Aurelia 86 mm rinsed and removed from left SB,,2,101,201,3085,26.99,21.88,17.27,36.164,36.404,36.312,6.5,6.2,4.1
04,0317,065,B307,50713,26.0303,-93.4935,2286.25,20MAY2016:03:40:36,20MAY2016:03:50:59,10.38,W,01,05,161,Thunnus thynnus,0,,No SeaCat One Aurelia 86 mm rinsed and removed from left SB,,2,101,201,3085,26.99,21.88,17.27,36.164,36.404,36.312,6.5,6.2,4.1
04,0317,066,B026,50718,26.0158,-93.9935,2975.50,20MAY2016:08:54:56,20MAY2016:09:05:20,10.40,W,01,05,163,Katsuwonus pelamis,2,,,,2,102,204,2976,26.8,21.37,18,36.11,36.449,36.401,6.5,6.4,4.1
04,0317,066,B026,50718,26.0158,-93.9935,2975.50,20MAY2016:08:54:56,20MAY2016:09:05:20,10.40,W,01,05,163,Thunnus spp,5,,,,2,102,204,2976,26.8,21.37,18,36.11,36.449,36.401,6.5,6.4,4.1
04,0317,066,B026,50718,26.0158,-93.9935,2975.50,20MAY2016:08:54:56,20MAY2016:09:05:20,10.40,W,01,05,163,Thunnus thynnus,6,,,,2,102,204,2976,26.8,21.37,18,36.11,36.449,36.401,6.5,6.4,4.1
04,0317,067,B054,50723,26.5133,-93.9915,1540.49,20MAY2016:12:50:05,20MAY2016:13:00:47,10.70,W,01,05,165,Katsuwonus pelamis,0,,,,2,101,201,1515,26.85,21.8,17.12,35.226,36.393,36.288,6.4,6.1,4.1
04,0317,067,B054,50723,26.5133,-93.9915,1540.49,20MAY2016:12:50:05,20MAY2016:13:00:47,10.70,W,01,05,165,Thunnus spp,6,,,,2,101,201,1515,26.85,21.8,17.12,35.226,36.393,36.288,6.4,6.1,4.1
04,0317,067,B054,50723,26.5133,-93.9915,1540.49,20MAY2016:12:50:05,20MAY2016:13:00:47,10.70,W,01,05,165,Thunnus thynnus,5,,,,2,101,201,1515,26.85,21.8,17.12,35.226,36.393,36.288,6.4,6.1,4.1
04,0317,068,B027,50728,27.0090,-93.9948,1007.61,20MAY2016:17:52:55,20MAY2016:18:03:36,10.68,W,01,05,177,Katsuwonus pelamis,2,,SeaCAt working but went out on the last dip Max fishing depth was 13 because SeaCat went out and had to use wire angle,,2,101,201,1006,27.51,21.38,16.97,33.885,36.428,36.265,6.5,6.3,4.1
