VESSEL,CRUISE,P_STA_NO,SEAMAP,SAMPLE_NO,STA_LAT,STA_LON,STA_DPTH,GEAR_IN,GEAR_OUT,TOW_TIME,TOW_PAT,GEAR_ICD,MESH_ICD,VOL_FILT,TAXON,TOT_LARVAE,TAXA_NOTES,SAMPLE_NOTES,COMMENTS,DEPTH_ESRF,DEPTH_EMID,DEPTH_EMAX,DEPTH_EWTR,TEMPSURF,TEMPMID,TEMPMAX,SALSURF,SALMID,SALMAX,OXYSURF,OXYMID,OXYMAX
04,0317,016,B126,50471,24.0077,-83.5013,1068.06,03MAY2016:01:32:58,03MAY2016:01:42:57,9.98,H,03,09,.,Katsuwonus pelamis,0,,,,2,101,201,1062,27.99,26.92,21.18,36.322,36.273,36.844,6.3,6.2,4.8
04,0317,016,B126,50471,24.0077,-83.5013,1068.06,03MAY2016:01:32:58,03MAY2016:01:42:57,9.98,H,03,09,.,Thunnus spp,1,,,,2,101,201,1062,27.99,26.92,21.18,36.322,36.273,36.844,6.3,6.2,4.8
04,0317,016,B126,50471,24.0077,-83.5013,1068.06,03MAY2016:01:32:58,03MAY2016:01:42:57,9.98,H,03,09,.,Thunnus thynnus,0,,,,2,101,201,1062,27.99,26.92,21.18,36.322,36.273,36.844,6.3,6.2,4.8
04,0317,017,B127,50476,23.9942,-83.9987,2410.59,03MAY2016:06:02:22,03MAY2016:06:12:24,10.03,H,03,09,.,NO TUNA LARVAE CAUGH,0,,,,2,101,201,2402,27.88,26.87,22.8,36.321,36.217,36.889,6.3,6.3,4.9
04,0317,018,B263,50481,24.5082,-84.4928,3419.90,03MAY2016:11:19:56,03MAY2016:11:29:58,10.03,H,03,09,.,Katsuwonus pelamis,0,,,,2,100,200,3420,28.08,26.94,20.06,36.315,36.286,36.741,6.3,6.1,4.7
04,0317,018,B263,50481,24.5082,-84.4928,3419.90,03MAY2016:11:19:56,03MAY2016:11:29:58,10.03,H,03,09,.,Thunnus spp,5,,,,2,100,200,3420,28.08,26.94,20.06,36.315,36.286,36.741,6.3,6.1,4.7
04,0317,018,B263,50481,24.5082,-84.4928,3419.90,03MAY2016:11:19:56,03MAY2016:11:29:58,10.03,H,03,09,.,Thunnus thynnus,1,,,,2,100,200,3420,28.08,26.94,20.06,36.315,36.286,36.741,6.3,6.1,4.7
04,0317,019,B262,50486,25.0047,-84.4875,1999.10,03MAY2016:15:38:41,03MAY2016:15:48:44,10.05,H,03,09,.,NO TUNA LARVAE CAUGH,0,,,,2,100,199,2155,28.11,24.28,17.63,36.323,36.737,36.432,6.3,5.2,5
04,0317,020,B007,50491,25.0055,-84.9965,3349.00,03MAY2016:19:56:04,03MAY2016:20:06:08,10.06,H,03,09,.,Katsuwonus pelamis,0,,,,2,100,200,3349,28.57,21.22,17,36.395,36.821,36.318,6.4,4.8,4.8
04,0317,020,B007,50491,25.0055,-84.9965,3349.00,03MAY2016:19:56:04,03MAY2016:20:06:08,10.06,H,03,09,.,Thunnus spp,3,,,,2,100,200,3349,28.57,21.22,17,36.395,36.821,36.318,6.4,4.8,4.8
