VESSEL,CRUISE,P_STA_NO,SEAMAP,SAMPLE_NO,STA_LAT,STA_LON,STA_DPTH,GEAR_IN,GEAR_OUT,TOW_TIME,TOW_PAT,GEAR_ICD,MESH_ICD,VOL_FILT,TAXON,TOT_LARVAE,TAXA_NOTES,SAMPLE_NOTES,COMMENTS,DEPTH_ESRF,DEPTH_EMID,DEPTH_EMAX,DEPTH_EWTR,TEMPSURF,TEMPMID,TEMPMAX,SALSURF,SALMID,SALMAX,OXYSURF,OXYMID,OXYMAX
04,0317,047,B063,50620,26.5062,-89.0050,2867.90,09MAY2016:11:04:04,09MAY2016:11:23:41,19.61,O,01,03,272,Thunnus spp,1,,,,3,101,202,2868,25.34,21.3,16.44,36.4,36.457,36.195,6.5,5.9,4.3
04,0317,047,B063,50620,26.5062,-89.0050,2867.90,09MAY2016:11:04:04,09MAY2016:11:23:41,19.61,O,01,03,272,Thunnus thynnus,0,,,,3,101,202,2868,25.34,21.3,16.44,36.4,36.457,36.195,6.5,5.9,4.3
04,0317,048,B013,50625,26.0150,-89.0000,3109.30,09MAY2016:15:47:55,09MAY2016:16:06:43,18.80,O,01,03,256,NO TUNA LARVAE CAUGH,0,,,,2,103,205,3109,25.39,21.38,16.45,36.439,36.435,36.185,6.6,6.5,4.2
04,0317,049,B291,50630,26.0003,-89.4960,3294.00,09MAY2016:20:34:57,09MAY2016:20:55:47,20.83,O,01,03,286,Katsuwonus pelamis,1,,,,3,101,202,3294,25.56,20.23,14.88,36.358,36.527,35.934,6.6,4.2,4
04,0317,049,B291,50630,26.0003,-89.4960,3294.00,09MAY2016:20:34:57,09MAY2016:20:55:47,20.83,O,01,03,286,Thunnus spp,0,,,,3,101,202,3294,25.56,20.23,14.88,36.358,36.527,35.934,6.6,4.2,4
04,0317,049,B291,50630,26.0003,-89.4960,3294.00,09MAY2016:20:34:57,09MAY2016:20:55:47,20.83,O,01,03,286,Thunnus thynnus,0,,,,3,101,202,3294,25.56,20.23,14.88,36.358,36.527,35.934,6.6,4.2,4
04,0317,050,B014,50635,26.0147,-89.9963,2909.00,10MAY2016:00:36:16,10MAY2016:00:57:46,21.50,O,01,03,308,Katsuwonus pelamis,0,,,,2,102,203,2909,25.19,19.73,15.15,36.345,36.548,35.986,6.6,4.2,4.1
04,0317,050,B014,50635,26.0147,-89.9963,2909.00,10MAY2016:00:36:16,10MAY2016:00:57:46,21.50,O,01,03,308,Thunnus spp,0,,,,2,102,203,2909,25.19,19.73,15.15,36.345,36.548,35.986,6.6,4.2,4.1
04,0317,050,B014,50635,26.0147,-89.9963,2909.00,10MAY2016:00:36:16,10MAY2016:00:57:46,21.50,O,01,03,308,Thunnus thynnus,1,,,,2,102,203,2909,25.19,19.73,15.15,36.345,36.548,35.986,6.6,4.2,4.1
04,0317,051,B062,50640,26.4948,-90.0035,2853.20,10MAY2016:06:16:21,10MAY2016:06:33:53,17.53,O,01,03,251,Katsuwonus pelamis,0,,,,2,101,201,2853,25.32,20.54,15.54,36.419,36.532,36.038,6.6,4.7,4
04,0317,051,B062,50640,26.4948,-90.0035,2853.20,10MAY2016:06:16:21,10MAY2016:06:33:53,17.53,O,01,03,251,Thunnus spp,1,,,,2,101,201,2853,25.32,20.54,15.54,36.419,36.532,36.038,6.6,4.7,4
04,0317,051,B062,50640,26.4948,-90.0035,2853.20,10MAY2016:06:16:21,10MAY2016:06:33:53,17.53,O,01,03,251,Thunnus thynnus,0,,,,2,101,201,2853,25.32,20.54,15.54,36.419,36.532,36.038,6.6,4.7,4
04,0317,052,B015,50645,27.0157,-89.9972,2459.72,10MAY2016:10:24:41,10MAY2016:10:43:32,18.85,O,01,03,259,Katsuwonus pelamis,2,,,,2,102,203,2495,25.72,20.6,15.43,36.53,36.594,36.037,6.4,4.5,4.3
