CRUISE_PK_SEQ,STATION_PK_SEQ,CRUISE_NAME,STATION,STATION_COMMENT,DOE,DOC,UOE,UOC
420,39096,HB1603,0053,,11-JAN-17,,PLANKTON,
420,39097,HB1603,0056,,11-JAN-17,,PLANKTON,
420,39098,HB1603,0057,,11-JAN-17,,PLANKTON,
420,39099,HB1603,0059,,11-JAN-17,,PLANKTON,
420,39100,HB1603,0060,,11-JAN-17,,PLANKTON,
420,39101,HB1603,0061,,11-JAN-17,,PLANKTON,
420,39102,HB1603,0066,,11-JAN-17,,PLANKTON,
420,39103,HB1603,0067,,11-JAN-17,,PLANKTON,
420,39104,HB1603,0068,,11-JAN-17,,PLANKTON,
420,39105,HB1603,0069,,11-JAN-17,,PLANKTON,
420,39106,HB1603,0070,,11-JAN-17,,PLANKTON,
420,39107,HB1603,0071,,11-JAN-17,,PLANKTON,
420,39108,HB1603,0072,,11-JAN-17,,PLANKTON,
420,39109,HB1603,0073,,11-JAN-17,,PLANKTON,
420,39110,HB1603,0074,,11-JAN-17,,PLANKTON,
420,39111,HB1603,0079,,11-JAN-17,,PLANKTON,
420,39112,HB1603,0080,,11-JAN-17,,PLANKTON,
420,39113,HB1603,0085,,11-JAN-17,,PLANKTON,
420,39114,HB1603,0086,,11-JAN-17,,PLANKTON,
420,39115,HB1603,0088,,11-JAN-17,,PLANKTON,
420,39116,HB1603,0089,,11-JAN-17,,PLANKTON,
420,39117,HB1603,0090,,11-JAN-17,,PLANKTON,
420,39118,HB1603,0095,,11-JAN-17,,PLANKTON,
420,39119,HB1603,0096,,11-JAN-17,,PLANKTON,
420,39120,HB1603,0099,,11-JAN-17,,PLANKTON,
420,39121,HB1603,0100,,11-JAN-17,,PLANKTON,
420,39122,HB1603,0101,,11-JAN-17,,PLANKTON,
420,39123,HB1603,0107,,11-JAN-17,,PLANKTON,
420,39124,HB1603,0110,,11-JAN-17,,PLANKTON,
420,39125,HB1603,0111,,11-JAN-17,,PLANKTON,
420,39126,HB1603,0113,,11-JAN-17,,PLANKTON,
420,39128,HB1603,0115,,11-JAN-17,,PLANKTON,
420,39129,HB1603,0116,,11-JAN-17,,PLANKTON,
420,39130,HB1603,0117,,11-JAN-17,,PLANKTON,
420,39131,HB1603,0120,,11-JAN-17,,PLANKTON,
420,39132,HB1603,0121,,11-JAN-17,,PLANKTON,
420,39133,HB1603,0124,,11-JAN-17,,PLANKTON,
420,39134,HB1603,0125,,11-JAN-17,,PLANKTON,
420,39135,HB1603,0129,,11-JAN-17,,PLANKTON,
420,39136,HB1603,0130,,11-JAN-17,,PLANKTON,
420,39140,HB1603,0135,,11-JAN-17,,PLANKTON,
420,39141,HB1603,0136,,11-JAN-17,,PLANKTON,
420,39142,HB1603,0138,,11-JAN-17,,PLANKTON,
420,39143,HB1603,0139,,11-JAN-17,,PLANKTON,
420,39144,HB1603,0140,,11-JAN-17,,PLANKTON,
420,39145,HB1603,0141,,11-JAN-17,,PLANKTON,
420,39146,HB1603,0142,,11-JAN-17,,PLANKTON,
420,39147,HB1603,0143,,11-JAN-17,,PLANKTON,
420,39148,HB1603,0145,,11-JAN-17,,PLANKTON,
420,39149,HB1603,0148,,11-JAN-17,,PLANKTON,
420,39150,HB1603,0149,,11-JAN-17,,PLANKTON,
420,39151,HB1603,0150,,11-JAN-17,,PLANKTON,
420,39152,HB1603,0151,,11-JAN-17,,PLANKTON,
420,39153,HB1603,0153,,11-JAN-17,,PLANKTON,
420,39154,HB1603,0154,,11-JAN-17,,PLANKTON,
420,39155,HB1603,0155,,11-JAN-17,,PLANKTON,
420,39156,HB1603,0156,,11-JAN-17,,PLANKTON,
420,39157,HB1603,0157,,11-JAN-17,,PLANKTON,
420,39158,HB1603,0158,,11-JAN-17,,PLANKTON,
420,39159,HB1603,0159,,11-JAN-17,,PLANKTON,
420,39161,HB1603,0160,,11-JAN-17,,PLANKTON,
420,39163,HB1603,0161,,11-JAN-17,,PLANKTON,
420,39164,HB1603,0162,,11-JAN-17,,PLANKTON,
420,39165,HB1603,0163,,11-JAN-17,,PLANKTON,
420,39166,HB1603,0164,,11-JAN-17,,PLANKTON,
420,39167,HB1603,0165,,11-JAN-17,,PLANKTON,
420,39168,HB1603,0166,,11-JAN-17,,PLANKTON,
420,39169,HB1603,0167,,11-JAN-17,,PLANKTON,
420,39170,HB1603,0168,,11-JAN-17,,PLANKTON,
420,39171,HB1603,0169,,11-JAN-17,,PLANKTON,
420,39172,HB1603,0171,,11-JAN-17,,PLANKTON,
420,39173,HB1603,0172,,11-JAN-17,,PLANKTON,
420,39174,HB1603,0173,,11-JAN-17,,PLANKTON,
420,39175,HB1603,0174,,11-JAN-17,,PLANKTON,
420,39176,HB1603,0175,,11-JAN-17,,PLANKTON,
420,39177,HB1603,0176,,11-JAN-17,,PLANKTON,
420,39178,HB1603,0177,,11-JAN-17,,PLANKTON,
420,39179,HB1603,0178,,11-JAN-17,,PLANKTON,
420,39127,HB1603,2113,,11-JAN-17,,PLANKTON,
420,39137,HB1603,2129,,11-JAN-17,,PLANKTON,
420,39138,HB1603,2130,,11-JAN-17,,PLANKTON,
420,39139,HB1603,2131,,11-JAN-17,,PLANKTON,
420,39160,HB1603,2159,,11-JAN-17,,PLANKTON,
420,39162,HB1603,2160,,11-JAN-17,,PLANKTON,
