"Cruise","Station","Gear","Fish","Length","LatDec","LonDec","DateTime","SST"
"GU1608",229,"6B3I",NA,4.8,37.8266666666667,72.5716666666667,2016-06-19 09:37:21,23.65
"GU1608",229,"6B3I",NA,NA,37.8266666666667,72.5716666666667,2016-06-19 09:37:21,23.65
"GU1608",231,"6B3I",NA,4.8,37.4816666666667,73.1166666666667,2016-06-19 14:09:22,24.26
"GU1608",234,"6B3I",NA,2,37,73.5,2016-06-19 20:58:57,25.98
"GU1608",234,"6B3I",NA,3,37,73.5,2016-06-19 20:58:57,25.98
"GU1608",234,"6B3I",NA,3,37,73.5,2016-06-19 20:58:57,25.98
"GU1608",234,"6B3I",NA,3,37,73.5,2016-06-19 20:58:57,25.98
"GU1608",234,"6B3I",NA,3,37,73.5,2016-06-19 20:58:57,25.98
"GU1608",234,"6B3I",NA,3,37,73.5,2016-06-19 20:58:57,25.98
"GU1608",234,"6B3I",NA,3,37,73.5,2016-06-19 20:58:57,25.98
"GU1608",234,"6B3I",NA,3,37,73.5,2016-06-19 20:58:57,25.98
"GU1608",234,"6B3I",NA,3.1,37,73.5,2016-06-19 20:58:57,25.98
"GU1608",234,"6B3I",NA,3.1,37,73.5,2016-06-19 20:58:57,25.98
"GU1608",234,"6B3I",NA,3.1,37,73.5,2016-06-19 20:58:57,25.98
"GU1608",234,"6B3I",NA,3.2,37,73.5,2016-06-19 20:58:57,25.98
"GU1608",234,"6B3I",NA,3.3,37,73.5,2016-06-19 20:58:57,25.98
"GU1608",234,"6B3I",NA,3.5,37,73.5,2016-06-19 20:58:57,25.98
"GU1608",234,"6B3I",NA,3,37,73.5,2016-06-19 20:58:57,25.98
"GU1608",235,"6B3I",NA,2.8,37.0016666666667,73.6983333333333,2016-06-19 22:44:38,25.16
"GU1608",235,"6B3I",NA,3,37.0016666666667,73.6983333333333,2016-06-19 22:44:38,25.16
"GU1608",235,"6B3I",NA,3,37.0016666666667,73.6983333333333,2016-06-19 22:44:38,25.16
"GU1608",235,"6B3I",NA,3,37.0016666666667,73.6983333333333,2016-06-19 22:44:38,25.16
"GU1608",235,"6B3I",NA,3.2,37.0016666666667,73.6983333333333,2016-06-19 22:44:38,25.16
